,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
140,47728204,2025-03-01,aFRR,NEG_001,14267.0,GRID_TO_PROVIDER,1.0,1.0,DE,
141,47728205,2025-03-01,aFRR,NEG_001,65.24,PROVIDER_TO_GRID,5.0,5.0,DE,
142,47728206,2025-03-01,aFRR,NEG_001,59.99,PROVIDER_TO_GRID,5.0,5.0,DE,
143,47728207,2025-03-01,aFRR,NEG_001,56.62,PROVIDER_TO_GRID,5.0,5.0,DE,
144,47728208,2025-03-01,aFRR,NEG_001,55.93,PROVIDER_TO_GRID,5.0,5.0,DE,
145,47728209,2025-03-01,aFRR,NEG_001,55.43,PROVIDER_TO_GRID,5.0,5.0,DE,
146,47728210,2025-03-01,aFRR,NEG_001,54.68,PROVIDER_TO_GRID,5.0,5.0,DE,
147,47728211,2025-03-01,aFRR,NEG_001,54.04,PROVIDER_TO_GRID,5.0,5.0,DE,
148,47728212,2025-03-01,aFRR,NEG_001,53.48,PROVIDER_TO_GRID,5.0,5.0,DE,
149,47728213,2025-03-01,aFRR,NEG_001,52.73,PROVIDER_TO_GRID,5.0,5.0,DE,
150,47728214,2025-03-01,aFRR,NEG_001,52.08,PROVIDER_TO_GRID,5.0,5.0,DE,
151,47728215,2025-03-01,aFRR,NEG_001,51.48,PROVIDER_TO_GRID,5.0,5.0,DE,
152,47728216,2025-03-01,aFRR,NEG_001,50.79,PROVIDER_TO_GRID,5.0,5.0,DE,
153,47728217,2025-03-01,aFRR,NEG_001,50.04,PROVIDER_TO_GRID,5.0,5.0,DE,
154,47728218,2025-03-01,aFRR,NEG_001,49.47,PROVIDER_TO_GRID,5.0,5.0,DE,
155,47728219,2025-03-01,aFRR,NEG_001,48.85,PROVIDER_TO_GRID,5.0,5.0,DE,
156,47728220,2025-03-01,aFRR,NEG_001,48.29,PROVIDER_TO_GRID,5.0,5.0,DE,
157,47728221,2025-03-01,aFRR,NEG_001,47.94,PROVIDER_TO_GRID,5.0,5.0,DE,
158,47728222,2025-03-01,aFRR,NEG_001,47.56,PROVIDER_TO_GRID,5.0,5.0,DE,
