dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-05-23T15:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,78.9191,A06,61,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T15:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,146.022,A06,62,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T15:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,148.1978,A06,63,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T15:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,145.3095,A06,64,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T16:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,128.8136,A06,65,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T16:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,164.1546,A06,66,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T16:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,166.273,A06,67,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T16:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,135.484,A06,68,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T17:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,180.0632,A06,69,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T17:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,159.7624,A06,70,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T17:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,178.0511,A06,71,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T17:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,206.2352,A06,72,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T18:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,231.6475,A06,73,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T18:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,198.896,A06,74,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T18:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,200.1303,A06,75,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T18:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,191.9646,A06,76,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T19:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,117.4802,A06,77,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T19:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,161.4296,A06,78,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T19:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,208.0419,A06,79,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T19:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,173.7293,A06,80,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T20:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,197.6851,A06,81,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T20:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,204.0478,A06,82,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T20:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,199.3306,A06,83,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T20:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,177.6448,A06,84,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T21:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,149.0564,A06,85,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T21:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,154.9151,A06,86,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T21:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,109.2845,A06,87,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T21:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,336.9635,A06,88,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T22:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,131.9851,A06,89,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T22:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,161.0108,A06,90,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T22:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,139.9638,A06,91,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T22:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,123.432,A06,92,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T23:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,120.5861,A06,93,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T23:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,135.9383,A06,94,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T23:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,104.2997,A06,95,A96,EUR,A03,A01,1,A04,MWH,A01
